suburb,region
Abbotsford,Inner Metro
Aberfeldie,Western
Airport West,Western
Albanvale,Western
Albert Park,Southern
Albion,Western
Alphington,Northern
Altona,Western
Altona Meadows,Western
Altona North,Western
Ardeer,Western
Armadale,Inner South-East
Ascot Vale,Inner Metro
Ashburton,Eastern
Ashwood,Eastern
Aspendale,Southern
Aspendale Gardens,Southern
Attwood,Northern
Avondale Heights,Western
Balaclava,Southern
Balwyn,Eastern
Balwyn North,Eastern
Bayswater,Eastern
Bayswater North,Eastern
Beaumaris,Southern
Bellfield,Northern
Bentleigh,Inner South-East
Bentleigh East,Inner South-East
Black Rock,Southern
Blackburn,Eastern
Blackburn North,Eastern
Blackburn South,Eastern
Bonbeach,Southern
Boronia,Eastern
Box Hill,Eastern
Box Hill North,Eastern
Box Hill South,Eastern
Braybrook,Western
Brunswick,Northern
Brunswick East,Northern
Brunswick West,Northern
Bundoora,Northern
Burnley,Inner Metro
Burwood,Eastern
Burwood East,Eastern
Camberwell,Eastern
Campbellfield,Northern
Canterbury,Eastern
Carlton,Inner Metro
Carlton North,Inner Metro
Carnegie,Inner South-East
Caroline Springs,Western
Carrum,Southern
Carrum Downs,Southern
Caulfield,Inner South-East
Caulfield East,Inner South-East
Caulfield North,Inner South-East
Caulfield South,Inner South-East
Chadstone,Inner South-East
Chelsea,Southern
Chelsea Heights,Southern
Cheltenham,Southern
Clarinda,Southern
Clayton,Southern
Clayton South,Southern
Clifton Hill,Inner Metro
Coburg,Northern
Coburg North,Northern
Collingwood,Inner Metro
Coolaroo,Northern
Craigieburn,Northern
Cremorne,Inner Metro
Croydon,Eastern
Croydon North,Eastern
Croydon South,Eastern
Dallas,Northern
Dandenong,Southern
Dandenong North,Southern
Dandenong South,Southern
Deer Park,Western
Delahey,Western
Derrimut,Western
Diamond Creek,Northern
Docklands,Inner Metro
Doncaster,Eastern
Doncaster East,Eastern
East Melbourne,Inner Metro
Edithvale,Southern
Elsternwick,Inner South-East
Eltham,Northern
Eltham North,Northern
Elwood,Southern
Epping,Northern
Essendon,Western
Essendon North,Western
Essendon West,Western
Fairfield,Northern
Fawkner,Northern
Ferntree Gully,Eastern
Fitzroy,Inner Metro
Fitzroy North,Inner Metro
Footscray,Western
Forest Hill,Eastern
Frankston,Southern
Frankston North,Southern
Frankston South,Southern
Glen Huntly,Inner South-East
Glen Iris,Inner South-East
Glen Waverley,Eastern
Glenroy,Northern
Greensborough,Northern
Hadfield,Northern
Hampton,Southern
Hampton East,Southern
Hawthorn,Eastern
Hawthorn East,Eastern
Heatherton,Southern
Heidelberg,Northern
Heidelberg Heights,Northern
Heidelberg West,Northern
Highett,Southern
Hoppers Crossing,Western
Ivanhoe,Northern
Ivanhoe East,Northern
Keilor,Western
Keilor Downs,Western
Keilor East,Western
Kensington,Inner Metro
Kew,Eastern
Kew East,Eastern
Keysborough,Southern
Kingsbury,Northern
Lalor,Northern
Laverton,Western
Laverton North,Western
Macleod,Northern
Malvern,Inner South-East
Malvern East,Inner South-East
Maribyrnong,Western
Melbourne,Inner Metro
Melton,Western
Melton South,Western
Melton West,Western
Mentone,Southern
Mitcham,Eastern
Moorabbin,Southern
Mordialloc,Southern
Mount Waverley,Eastern
Newport,Western
North Melbourne,Inner Metro
Northcote,Northern
Nunawading,Eastern
Oakleigh,Inner South-East
Oakleigh East,Inner South-East
Oakleigh South,Inner South-East
Ormond,Inner South-East
Parkdale,Southern
Parkville,Inner Metro
Pascoe Vale,Northern
Point Cook,Western
Port Melbourne,Inner Metro
Prahran,Inner South-East
Preston,Northern
Reservoir,Northern
Richmond,Inner Metro
Ringwood,Eastern
Ringwood East,Eastern
Ringwood North,Eastern
Rosanna,Northern
Sandringham,Southern
Seaford,Southern
Seddon,Western
South Melbourne,Inner Metro
South Yarra,Inner Metro
Southbank,Inner Metro
Spotswood,Western
Springvale,Southern
Springvale South,Southern
St Albans,Western
St Kilda,Southern
St Kilda East,Southern
St Kilda West,Southern
Surrey Hills,Eastern
Tarneit,Western
Thomastown,Northern
Thornbury,Northern
Toorak,Inner South-East
Truganina,Western
Vermont,Eastern
Vermont South,Eastern
Wantirna,Eastern
Wantirna South,Eastern
Watsonia,Northern
Werribee,Western
West Melbourne,Inner Metro
Williamstown,Western
Windsor,Inner South-East
Yarraville,Western
